CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Thought Leadership Seminar ,Fall 2017 ,"Qian, Nancy" ,MECN-484-5 (61) ,Fall 2017 Bidding Phase I ,MECN ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,35 ,11 ,26 ,30 ,26 ,Full-Time ,9 ,0
Omnichannel Experience Strategy ,Fall 2017 ,"Kolsky, Richard" ,MKTG-451-0 (61) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,27 ,0 ,61 ,65 ,27 ,Full-Time ,0 ,34
Advertising Strategy ,Fall 2017 ,"Sternthal, Brian" ,MKTG-454-0 (61) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,27 ,0 ,61 ,65 ,27 ,Full-Time ,0 ,34
Retail Analytics and Pricing ,Fall 2017 ,"Anderson, Eric" ,MKTG-462-0 (61) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,44 ,0 ,61 ,65 ,54 ,Full-Time ,0 ,7
Retail Analytics and Pricing ,Fall 2017 ,"Anderson, Eric" ,MKTG-462-0 (62) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,80 ,200 ,65 ,65 ,65 ,Full-Time ,5 ,0
Marketing Strategy for Growth and Defense ,Fall 2017 ,"Calkins, Timothy" ,MKTG-466-0 (61) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,86 ,400 ,61 ,65 ,61 ,Full-Time ,25 ,0
Marketing Strategy for Growth and Defense ,Fall 2017 ,"Calkins, Timothy" ,MKTG-466-0 (62) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,114 ,571 ,61 ,65 ,61 ,Full-Time ,53 ,0
Strategic Brand Management ,Fall 2017 ,"Roese, Neal" ,MKTG-473-0 (61) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,21 ,0 ,61 ,65 ,21 ,Full-Time ,0 ,40
C Suite and Boardroom Dynamics ,Fall 2017 ,"Patel, Homi" ,MKTG-478-0 (80) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Mon 6:30PM - 9:30PM ,40 ,457 ,34 ,38 ,34 ,Full-Time ,6 ,0
"Consumers, Culture & Strategy" ,Fall 2017 ,"Carpenter, Gregory" ,MKTG-918-5 (80) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Fri 1:30PM - 4:30PM ,57 ,1 ,53 ,57 ,53 ,Full-Time ,4 ,0
Customer Loyalty ,Fall 2017 ,"O'Toole, Thomas" ,MKTG-948-5 (61) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,74 ,253 ,36 ,40 ,36 ,Full-Time ,38 ,0
Ethnographic Customer Insights ,Fall 2017 ,"Fong, Gina" ,MKTG-949-5 (81) ,Fall 2017 Bidding Phase I ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,48 ,95 ,31 ,35 ,31 ,Full-Time ,17 ,0
Negotiations Fundamentals ,Fall 2017 ,"Kteily, Nour" ,MORS-472-5 (61) ,Fall 2017 Bidding Phase I ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,85 ,1000 ,32 ,36 ,32 ,Full-Time ,53 ,0
Negotiations Fundamentals ,Fall 2017 ,"Pearce, Nicholas" ,MORS-472-5 (63) ,Fall 2017 Bidding Phase I ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,49 ,737 ,32 ,36 ,32 ,Full-Time ,17 ,0
Negotiations Fundamentals ,Fall 2017 ,"Kteily, Nour" ,MORS-472-5 (80) ,Fall 2017 Bidding Phase I ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,62 ,903 ,27 ,31 ,27 ,Full-Time ,35 ,0
Negotiations Fundamentals ,Fall 2017 ,"Pearce, Nicholas" ,MORS-472-5 (81) ,Fall 2017 Bidding Phase I ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,34 ,300 ,27 ,31 ,27 ,Full-Time ,7 ,0
Managing in Professonal Service Firms ,Fall 2017 ,"Bette, Gerhard" ,MORS-934-0 (81) ,Fall 2017 Bidding Phase I ,MORS ,Evanston ,Mon 6:30PM - 9:30PM ,39 ,530 ,21 ,25 ,21 ,Full-Time ,18 ,0
Strategy Implementation ,Fall 2017 ,"Smith, Edward (Ned)" ,MORS-455-0 (61) ,Fall 2017 Bidding Phase I ,MORS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,229 ,559 ,60 ,60 ,60 ,Full-Time ,169 ,0
Beyond Diversity: The Fundamentals of Inclusive Leadership ,Fall 2017 ,"Pearce, Nicholas" ,MORS-462-5 (80) ,Fall 2017 Bidding Phase I ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,41 ,272 ,27 ,31 ,27 ,Full-Time ,14 ,0
Supply Chain Management ,Fall 2017 ,"Chopra, Sunil" ,OPNS-455-0 (61) ,Fall 2017 Bidding Phase I ,OPNS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,71 ,400 ,61 ,65 ,61 ,Full-Time ,10 ,0
Real Estate Development ,Fall 2017 ,"Cocagne, David" ,REAL-444-0 (80) ,Fall 2017 Bidding Phase I ,REAL ,Evanston ,Thu 6:30PM - 9:30PM ,5 ,0 ,52 ,55 ,5 ,Full-Time ,0 ,47
Healthcare Economics ,Fall 2017 ,"Dranove, David" ,STRT-444-0 (80) ,Fall 2017 Bidding Phase I ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,62 ,50 ,51 ,55 ,51 ,Full-Time ,11 ,0
Strategy and Organization ,Fall 2017 ,"Powell, Michael" ,STRT-452-0 (61) ,Fall 2017 Bidding Phase I ,STRT ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,110 ,288 ,61 ,65 ,61 ,Full-Time ,49 ,0
Strategy and Organization ,Fall 2017 ,"Georgiadis, Georgios" ,STRT-452-0 (62) ,Fall 2017 Bidding Phase I ,STRT ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,21 ,0 ,61 ,65 ,21 ,Full-Time ,0 ,40
Strategic Decisions: A Guide to Making Winning Choices ,Fall 2017 ,"Leinwand, Paul" ,STRT-960-5 (81) ,Fall 2017 Bidding Phase I ,STRT ,Evanston ,Thu 6:30PM - 9:30PM ,72 ,17 ,51 ,55 ,51 ,Full-Time ,21 ,0
Strategic Decisions: A Guide to Making Winning Choices ,Fall 2017 ,"Mainardi, Cesare" ,STRT-960-5 (81) ,Fall 2017 Bidding Phase I ,STRT ,Evanston ,Thu 6:30PM - 9:30PM ,72 ,17 ,51 ,55 ,51 ,Full-Time ,21 ,0
International Business Strategy ,Fall 2017 ,"Spulber, Daniel" ,STRT-460-0 (81) ,Fall 2017 Bidding Phase I ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,16 ,0 ,51 ,55 ,16 ,Full-Time ,0 ,35
International Business Strategy ,Fall 2017 ,"Spulber, Daniel" ,STRT-460-0 (81) ,Fall 2017 Bidding Phase II ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,23 ,0 ,41 ,55 ,23 ,Full-Time ,0 ,18
Strategy and Organization ,Fall 2017 ,"Georgiadis, Georgios" ,STRT-452-0 (62) ,Fall 2017 Bidding Phase II ,STRT ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,75 ,267 ,41 ,65 ,41 ,Full-Time ,34 ,0
Real Estate Development ,Fall 2017 ,"Cocagne, David" ,REAL-444-0 (80) ,Fall 2017 Bidding Phase II ,REAL ,Evanston ,Thu 6:30PM - 9:30PM ,4 ,0 ,47 ,55 ,4 ,Full-Time ,0 ,43
Beyond Diversity: The Fundamentals of Inclusive Leadership ,Fall 2017 ,"Pearce, Nicholas" ,MORS-462-5 (80) ,Fall 2017 Bidding Phase II ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,0 ,0 ,0 ,31 ,0 ,Full-Time ,0 ,0
Managing in Professonal Service Firms ,Fall 2017 ,"Bette, Gerhard" ,MORS-934-0 (81) ,Fall 2017 Bidding Phase II ,MORS ,Evanston ,Mon 6:30PM - 9:30PM ,0 ,0 ,0 ,25 ,0 ,Full-Time ,0 ,0
Ethnographic Customer Insights ,Fall 2017 ,"Fong, Gina" ,MKTG-949-5 (81) ,Fall 2017 Bidding Phase II ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,0 ,0 ,0 ,35 ,0 ,Full-Time ,0 ,0
"Consumers, Culture & Strategy" ,Fall 2017 ,"Carpenter, Gregory" ,MKTG-918-5 (80) ,Fall 2017 Bidding Phase II ,MKTG ,Evanston ,Fri 1:30PM - 4:30PM ,0 ,0 ,0 ,57 ,0 ,Full-Time ,0 ,0
Strategic Brand Management ,Fall 2017 ,"Roese, Neal" ,MKTG-473-0 (61) ,Fall 2017 Bidding Phase II ,MKTG ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,37 ,0 ,43 ,65 ,37 ,Full-Time ,0 ,6
Retail Analytics and Pricing ,Fall 2017 ,"Anderson, Eric" ,MKTG-462-0 (61) ,Fall 2017 Bidding Phase II ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,62 ,725 ,9 ,65 ,9 ,Full-Time ,53 ,0
Advertising Strategy ,Fall 2017 ,"Sternthal, Brian" ,MKTG-454-0 (61) ,Fall 2017 Bidding Phase II ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,43 ,57 ,36 ,65 ,36 ,Full-Time ,7 ,0
Omnichannel Experience Strategy ,Fall 2017 ,"Kolsky, Richard" ,MKTG-451-0 (61) ,Fall 2017 Bidding Phase II ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,81 ,306 ,35 ,65 ,35 ,Full-Time ,46 ,0
Decision Making and Modeling ,Fall 2017 ,"Al-Najjar, Nabil" ,MECN-451-0 (62) ,Fall 2017 Bidding Phase II ,MECN ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,40 ,1000 ,1 ,50 ,1 ,Full-Time ,39 ,0
Social Impact and Technology Innovation ,Fall 2017 ,"Kashner, Megan" ,KPPI-925-5 (81) ,Fall 2017 Bidding Phase II ,KPPI ,Evanston ,Tue 6:30PM - 9:30PM ,52 ,201 ,21 ,55 ,21 ,Full-Time ,31 ,0
Public Economics for Business Leaders: State and Local Policy ,Fall 2017 ,"McGuire, Therese" ,KPPI-480-0 (61) ,Fall 2017 Bidding Phase II ,KPPI ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,32 ,57 ,28 ,48 ,28 ,Full-Time ,4 ,0
Ethics and Leadership ,Fall 2017 ,"Feddersen, Timothy" ,KPPI-460-0 (81) ,Fall 2017 Bidding Phase II ,KPPI ,Evanston ,Mon 6:30PM - 9:30PM ,40 ,0 ,41 ,55 ,40 ,Full-Time ,0 ,1
Social Innovation: Designing for Change ,Fall 2017 ,"Palamountain, Kara" ,KPPI-452-0 (81) ,Fall 2017 Bidding Phase II ,KPPI ,Evanston ,Thu 6:30PM - 9:30PM ,30 ,501 ,5 ,24 ,5 ,Full-Time ,25 ,0
New Venture Discovery ,Fall 2017 ,"Vehovsky, Gabe" ,KIEI-462-0 (81) ,Fall 2017 Bidding Phase II ,KIEI ,Evanston ,Tue 6:30PM - 9:30PM ,14 ,352 ,10 ,27 ,10 ,Full-Time ,4 ,0
Entrepreneurial Selling ,Fall 2017 ,"Wortmann, Craig" ,KIEI-966-0 (80) ,Fall 2017 Bidding Phase II ,KIEI ,Evanston ,Tue 6:30PM - 9:30PM ,0 ,0 ,0 ,57 ,0 ,Full-Time ,0 ,0
New Venture Discovery ,Fall 2017 ,"Schonthal, David" ,KIEI-462-0 (80) ,Fall 2017 Bidding Phase II ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,0 ,0 ,0 ,28 ,0 ,Full-Time ,0 ,0
Investment Banking Recruiting Prep ,Fall 2017 ,"Stowell, David" ,FINC-944-5 (81) ,Fall 2017 Bidding Phase II ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,2 ,0 ,40 ,55 ,2 ,Full-Time ,0 ,38
New Venture Discovery ,Fall 2017 ,"Farsht, Stephanie" ,KIEI-462-0 (61) ,Fall 2017 Bidding Phase II ,KIEI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,30 ,156 ,21 ,32 ,21 ,Full-Time ,9 ,0
International Finance ,Fall 2017 ,"Rebelo, Sergio" ,FINC-470-0 (61) ,Fall 2017 Bidding Phase II ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,26 ,1000 ,1 ,65 ,1 ,Full-Time ,25 ,0
Derivatives Markets ,Fall 2017 ,"Skiadas, Constantinos" ,FINC-465-0 (80) ,Fall 2017 Bidding Phase II ,FINC ,Evanston ,Mon 6:30PM - 9:30PM ,17 ,0 ,44 ,55 ,17 ,Full-Time ,0 ,27
Real Estate Finance and Investments ,Fall 2017 ,"Nathanson, Charles" ,FINC-454-0 (61) ,Fall 2017 Bidding Phase II ,FINC ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,45 ,517 ,9 ,65 ,9 ,Full-Time ,36 ,0
Financial Decisions ,Fall 2017 ,"Raviv, Artur" ,FINC-442-0 (81) ,Fall 2017 Bidding Phase II ,FINC ,Evanston ,Mon 6:30PM - 9:30PM ,11 ,1178 ,1 ,42 ,1 ,Full-Time ,10 ,0
Financial Decisions ,Fall 2017 ,"Raviv, Artur" ,FINC-442-0 (61) ,Fall 2017 Bidding Phase II ,FINC ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,3 ,500 ,1 ,50 ,1 ,Full-Time ,2 ,0
Finance II ,Fall 2017 ,"Melzer, Brian" ,FINC-431-0 (61) ,Fall 2017 Bidding Phase II ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,17 ,725 ,4 ,50 ,4 ,Full-Time ,13 ,0
Business Law ,Fall 2017 ,"McCareins, Mark" ,BLAW-435-0 (81) ,Fall 2017 Bidding Phase II ,BLAW ,Evanston ,Tue 6:30PM - 9:30PM ,22 ,460 ,3 ,55 ,3 ,Full-Time ,19 ,0
Financial Planning for Mergers & Acquisitions ,Fall 2017 ,"Finn, Mark" ,ACCT-444-5 (80) ,Fall 2017 Bidding Phase II ,ACCT ,Evanston ,Tue 6:30PM - 9:30PM ,29 ,200 ,11 ,55 ,11 ,Full-Time ,18 ,0
Financial Planning for Mergers & Acquisitions ,Fall 2018 ,"Finn, Mark" ,ACCT-444-5 (41) ,Fall 2018 Bidding Phase I ,ACCT ,Evanston ,Wed 6:30PM - 9:30PM ,38 ,0 ,50 ,50 ,38 ,Full-Time ,0 ,12
Business Law ,Fall 2018 ,"McCareins, Mark" ,BLAW-435-0 (31) ,Fall 2018 Bidding Phase I ,BLAW ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,66 ,10 ,62 ,62 ,62 ,Full-Time ,4 ,0
Finance II ,Fall 2018 ,"Hampole, Menaka" ,FINC-431-0 (31) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,13 ,0 ,50 ,50 ,13 ,Full-Time ,0 ,37
Finance II ,Fall 2018 ,"Mezzanotti, Filippo" ,FINC-431-0 (31) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,13 ,0 ,50 ,50 ,13 ,Full-Time ,0 ,37
Finance II ,Fall 2018 ,"Hampole, Menaka" ,FINC-431-0 (32) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,46 ,0 ,50 ,50 ,46 ,Full-Time ,0 ,4
Finance II ,Fall 2018 ,"Mezzanotti, Filippo" ,FINC-431-0 (32) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,46 ,0 ,50 ,50 ,46 ,Full-Time ,0 ,4
Finance II ,Fall 2018 ,"Hampole, Menaka" ,FINC-431-0 (33) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,35 ,0 ,50 ,50 ,35 ,Full-Time ,0 ,15
Finance II ,Fall 2018 ,"Mezzanotti, Filippo" ,FINC-431-0 (33) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,35 ,0 ,50 ,50 ,35 ,Full-Time ,0 ,15
Financial Decisions ,Fall 2018 ,"Raviv, Artur" ,FINC-442-0 (31) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,64 ,115 ,50 ,50 ,50 ,Full-Time ,11 ,0
Financial Decisions ,Fall 2018 ,"Raviv, Artur" ,FINC-442-0 (32) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,49 ,0 ,50 ,50 ,50 ,Full-Time ,0 ,0
Financial Decisions ,Fall 2018 ,"Raviv, Artur" ,FINC-442-0 (41) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon 6:30PM - 9:30PM ,41 ,0 ,43 ,43 ,43 ,Full-Time ,0 ,0
Capital Markets ,Fall 2018 ,"Braun, Phillip" ,FINC-950-0 (31) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,81 ,183 ,48 ,48 ,48 ,Full-Time ,33 ,0
Forging and Funding Healthcare Startups ,Fall 2018 ,"McNerney, Peter" ,HCAK-927-0 (41) ,Fall 2018 Bidding Phase I ,HCAK ,Evanston ,Tue 6:30PM - 9:30PM ,0 ,0 ,25 ,25 ,0 ,Full-Time ,0 ,25
Forging and Funding Healthcare Startups ,Fall 2018 ,"Schonthal, David" ,HCAK-927-0 (41) ,Fall 2018 Bidding Phase I ,HCAK ,Evanston ,Tue 6:30PM - 9:30PM ,0 ,0 ,25 ,25 ,0 ,Full-Time ,0 ,25
Personal Leadership Insights ,Fall 2018 ,"Ellington Booth, Brenda" ,KACI-461-5 (31) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Tue 10:30AM - 12:00PM ,40 ,1107 ,12 ,12 ,12 ,Full-Time ,28 ,0
Personal Leadership Insights ,Fall 2018 ,"Vuckovic, Brooke" ,KACI-461-5 (32) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Tue 10:30AM - 12:00PM ,65 ,1113 ,12 ,12 ,12 ,Full-Time ,53 ,0
Personal Leadership Insights ,Fall 2018 ,"Ellington Booth, Brenda" ,KACI-461-5 (33) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Tue 1:30PM - 3:00PM ,15 ,150 ,12 ,12 ,12 ,Full-Time ,3 ,0
Personal Leadership Insights ,Fall 2018 ,"Corona, Paul" ,KACI-461-5 (34) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Thu 1:30PM - 3:00PM ,50 ,800 ,12 ,12 ,12 ,Full-Time ,38 ,0
Personal Leadership Insights ,Fall 2018 ,"Murnane, Kevin" ,KACI-461-5 (35) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Thu 6:30PM - 8:00PM ,18 ,251 ,12 ,12 ,12 ,Full-Time ,6 ,0
Personal Leadership Insights ,Fall 2018 ,"Corona, Paul" ,KACI-461-5 (36) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Fri 10:30AM - 12:00PM ,15 ,600 ,12 ,12 ,12 ,Full-Time ,3 ,0
Managerial Leadership ,Fall 2018 ,"Kraemer, Harry" ,KACI-468-0 (31) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Wed 6:30PM - 9:30PM ,106 ,650 ,57 ,57 ,57 ,Full-Time ,49 ,0
Strategic Communication for Organizations ,Fall 2018 ,"Carroll, Shana" ,KACI-915-5 (51) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Fri 1:30PM - 4:30PM ,63 ,203 ,29 ,29 ,29 ,Full-Time ,34 ,0
Entrepreneurial Finance and Venture Capital ,Fall 2018 ,"Sapienza, Paola" ,FINC-445-0 (41) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Tue 1:30PM - 4:30PM ,53 ,50 ,47 ,47 ,47 ,Full-Time ,6 ,0
Investment Banking ,Fall 2018 ,"Stowell, David" ,FINC-461-0 (91) ,Fall 2018 Bidding Phase I ,FINC ,Chicago ,Mon 6:00PM - 9:00PM ,4 ,0 ,5 ,5 ,4 ,Full-Time ,0 ,1
International Finance ,Fall 2018 ,"Rebelo, Sergio" ,FINC-470-0 (31) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,51 ,101 ,47 ,47 ,47 ,Full-Time ,2 ,0
International Finance ,Fall 2018 ,"Rebelo, Sergio" ,FINC-470-0 (32) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,23 ,0 ,47 ,47 ,25 ,Full-Time ,0 ,22
Investment Banking Recruiting Prep ,Fall 2018 ,"Stowell, David" ,FINC-944-5 (41) ,Fall 2018 Bidding Phase I ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,3 ,0 ,55 ,55 ,3 ,Full-Time ,0 ,52
Leader Development Models and Practices ,Fall 2018 ,"Banks, Bernard" ,KACI-930-5 (41) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Tue 1:30PM - 4:30PM ,20 ,0 ,30 ,30 ,20 ,Full-Time ,0 ,10
Selling Yourself and Your Ideas ,Fall 2018 ,"Muchin, Suzanne" ,KACI-940-0 (41) ,Fall 2018 Bidding Phase I ,KACI ,Evanston ,Tue 1:30PM - 4:30PM ,162 ,1250 ,63 ,63 ,63 ,Full-Time ,99 ,0
New Venture Discovery ,Fall 2018 ,"Farsht, Stephanie" ,KIEI-462-0 (31) ,Fall 2018 Bidding Phase I ,KIEI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,46 ,200 ,32 ,32 ,32 ,Full-Time ,14 ,0
New Venture Discovery ,Fall 2018 ,"Vehovsky, Gabe" ,KIEI-462-0 (41) ,Fall 2018 Bidding Phase I ,KIEI ,Evanston ,Tue 6:30PM - 9:30PM ,24 ,0 ,27 ,27 ,24 ,Full-Time ,0 ,3
Corporate Innovation and New Ventures ,Fall 2018 ,"DeBiase, Dean" ,KIEI-903-0 (91) ,Fall 2018 Bidding Phase I ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,7 ,509 ,5 ,5 ,5 ,Full-Time ,2 ,0
Corporate Innovation and New Ventures ,Fall 2018 ,"Earle, Jr., Paul" ,KIEI-903-0 (91) ,Fall 2018 Bidding Phase I ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,7 ,509 ,5 ,5 ,5 ,Full-Time ,2 ,0
"Entrepreneurship: Building Innovation, Teams, and Cultures" ,Fall 2018 ,"Dwyer, Joe" ,KIEI-952-5 (41) ,Fall 2018 Bidding Phase I ,KIEI ,Evanston ,Wed 6:30PM - 9:30PM ,42 ,107 ,33 ,33 ,33 ,Full-Time ,9 ,0
Entrepreneurial Selling ,Fall 2018 ,"Wortmann, Craig" ,KIEI-966-0 (41) ,Fall 2018 Bidding Phase I ,KIEI ,Evanston ,Mon 6:30PM - 9:30PM ,97 ,649 ,80 ,80 ,80 ,Full-Time ,17 ,0
Launching and Leading Startups ,Fall 2018 ,"Cast, Carter" ,KIEI-967-0 (41) ,Fall 2018 Bidding Phase I ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,90 ,1500 ,43 ,43 ,43 ,Full-Time ,47 ,0
Social Innovation: Designing for Change ,Fall 2018 ,"Palamountain, Kara" ,KPPI-452-0 (41) ,Fall 2018 Bidding Phase I ,KPPI ,Evanston ,Thu 6:30PM - 9:30PM ,23 ,0 ,25 ,25 ,23 ,Full-Time ,0 ,2
Introduction to Software Development ,Fall 2018 ,"Eng, Brian" ,KIEI-924-0 (41) ,Fall 2018 Bidding Phase I ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,64 ,539 ,44 ,44 ,44 ,Full-Time ,20 ,0
Recruiting & Retaining Talent in Growth Companies ,Fall 2018 ,"Hyman, Jeffrey" ,KIEI-927-5 (41) ,Fall 2018 Bidding Phase I ,KIEI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,38 ,0 ,43 ,43 ,38 ,Full-Time ,0 ,5
Public Economics for Business Leaders: State and Local Policy ,Fall 2018 ,"McGuire, Therese" ,KPPI-480-0 (31) ,Fall 2018 Bidding Phase I ,KPPI ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,26 ,0 ,50 ,50 ,26 ,Full-Time ,0 ,24
Thought Leadership Seminar ,Fall 2018 ,"Pariente, William" ,KPPI-484-0 (41) ,Fall 2018 Bidding Phase I ,KPPI ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,4 ,0 ,20 ,20 ,4 ,Full-Time ,0 ,16
Social Impact and Technology Innovation ,Fall 2018 ,"Kashner, Megan" ,KPPI-925-5 (41) ,Fall 2018 Bidding Phase I ,KPPI ,Evanston ,Tue 6:30PM - 9:30PM ,28 ,0 ,52 ,52 ,28 ,Full-Time ,0 ,24
Pricing Strategies ,Fall 2018 ,"Dale, Donald" ,MECN-446-0 (31) ,Fall 2018 Bidding Phase I ,MECN ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,80 ,50 ,62 ,62 ,62 ,Full-Time ,18 ,0
Decision Making and Modeling ,Fall 2018 ,"Al-Najjar, Nabil" ,MECN-451-0 (31) ,Fall 2018 Bidding Phase I ,MECN ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,45 ,0 ,46 ,46 ,45 ,Full-Time ,0 ,1
Decision Making and Modeling ,Fall 2018 ,"Al-Najjar, Nabil" ,MECN-451-0 (32) ,Fall 2018 Bidding Phase I ,MECN ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,31 ,0 ,49 ,49 ,31 ,Full-Time ,0 ,18
Competitive Strategy and Industrial Structure ,Fall 2018 ,"Salant, Yuval" ,MECN-441-0 (31) ,Fall 2018 Bidding Phase I ,MECN ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,83 ,31 ,63 ,63 ,63 ,Full-Time ,15 ,0
Competitive Strategy and Industrial Structure ,Fall 2018 ,"Salant, Yuval" ,MECN-441-0 (32) ,Fall 2018 Bidding Phase I ,MECN ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,59 ,0 ,64 ,64 ,64 ,Full-Time ,0 ,0
Marketing Research and Analytics ,Fall 2018 ,"Dong, Ping" ,MKTG-450-0 (31) ,Fall 2018 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,51 ,0 ,65 ,65 ,51 ,Full-Time ,0 ,14
Retail Analytics and Pricing ,Fall 2018 ,"Anderson, Eric" ,MKTG-462-0 (31) ,Fall 2018 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,44 ,0 ,47 ,47 ,47 ,Full-Time ,0 ,0
Retail Analytics and Pricing ,Fall 2018 ,"Anderson, Eric" ,MKTG-462-0 (32) ,Fall 2018 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,68 ,302 ,47 ,47 ,47 ,Full-Time ,18 ,0
Launching New Products and Services ,Fall 2018 ,"Maimaran, Michal" ,MKTG-465-0 (32) ,Fall 2018 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,26 ,0 ,43 ,43 ,26 ,Full-Time ,0 ,17
