CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Introduction to Software Development ,Fall 2015 ,"Eng, Brian" ,KIEI-924-5 (80) ,Fall 2015 Bid to Waitlist ,KIEI ,Evanston ,Fri 1:30PM - 4:30PM ,1 ,0 ,0 ,24 ,0 ,Full-Time ,1 ,0
Strategy Beyond Markets ,Fall 2015 ,"Persico, Nicola" ,KPPI-441-0 (31) ,Fall 2015 Bid to Waitlist ,KPPI ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,3 ,10 ,0 ,Full-Time ,0 ,3
Social Innovation: Designing for Change ,Fall 2015 ,"Lyon, Gabrielle" ,KPPI-452-0 (81) ,Fall 2015 Bid to Waitlist ,KPPI ,Evanston ,Thu 6:30PM - 9:30PM ,0 ,0 ,17 ,35 ,0 ,Full-Time ,0 ,17
Ethics and Leadership ,Fall 2015 ,"Austen-Smith, David" ,KPPI-460-0 (61) ,Fall 2015 Bid to Waitlist ,KPPI ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,0 ,0 ,2 ,62 ,0 ,Full-Time ,0 ,2
Public Economics for Business Leaders: State and Local Policy ,Fall 2015 ,"McGuire, Therese" ,KPPI-480-0 (61) ,Fall 2015 Bid to Waitlist ,KPPI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,0 ,0 ,41 ,56 ,0 ,Full-Time ,0 ,41
Thought Leadership Seminar ,Fall 2015 ,Unknown ,KPPI-484-0 (X61) ,Fall 2015 Bid to Waitlist ,KPPI ,Evanston ,TBA  ,0 ,0 ,17 ,25 ,0 ,Full-Time ,0 ,17
Pricing Strategies ,Fall 2015 ,"Schummer, James" ,MECN-446-0 (61) ,Fall 2015 Bid to Waitlist ,MECN ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,0 ,0 ,21 ,58 ,0 ,Full-Time ,0 ,21
Macroeconomics ,Fall 2015 ,"Hu, Tai-Wei" ,MECN-450-0 (61) ,Fall 2015 Bid to Waitlist ,MECN ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,0 ,0 ,28 ,63 ,0 ,Full-Time ,0 ,28
Marketing Research and Analytics ,Fall 2015 ,"Maimaran, Michal" ,MKTG-450-0 (61) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,0 ,0 ,4 ,65 ,0 ,Full-Time ,0 ,4
Marketing Research and Analytics ,Fall 2015 ,"Maimaran, Michal" ,MKTG-450-0 (62) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,0 ,0 ,25 ,65 ,0 ,Full-Time ,0 ,25
